,Review
0,iq weaver place has been an amazing place to reside in while at uni.
1,moved here in september and spent most of lockdown within my flat space.
2,amazing on site staff who are always ready and enthusiastic to provide any type of assistance required.
3,would definitely recommend staying here for uni students looking to book accommodation!
4,i am living in classic studio with a window facing to south.
5,the space and decroations of room are decent.
6,there are some features that i quite like.
7,1.the living space is pretty quiet.
8,there is no worry about noise in any time.
9,2.the receptionist is quite kind.
10,"and they will quickly inform you, if your amaz package is reached."
11,3.there are some small gifts or candies during festivals.
12,4.there are two stores near the accomadation.
13,and it takes about 10-min walk to the shopping centre.
14,"basically, if you enjoy a quiet life during your study, that is definately one of best places you want to choose in coventry."
15,i have a very nice experience staying in julian court!
16,all the rooms are studios.
17,the residence is in a quite area so no worry about notices outside.
18,also to go to university of warwick only takes about 20 minutes in total.
19,the staff here are really friendly and helpful.
20,"they can help you with anything, from local life to living experience."
21,i’ll definitely recommend it to those who wish to have a private space to stay.
22,"as a self-contained studio apartment, julian court has all the functions i need to live securely and safely under covid-19 pandemic."
23,and the reception service here is really warm and welcoming.
24,"i like the young lady in reception, she is always enthusiasm when i pick the package"
25,"comfortable, convenient position, good service."
26,an enjoybale living experience.
27,it is suitable for various students.
28,"i love my room, especially the two big windows, from which i can see beautiful sceneries."
29,the furniture inside the room is great and convenient to use.
30,"besides, the administrator at the reception is very enthusiastic and kind."
31,really enjoying living there!
32,i have lived here for more than 4 years and my overall experience with study inn is absolutely amazing.
33,"it has the best arrangements, management and staff and i love how considerate everyone is."
34,gonna miss it badly once i am gone!
35,very helpful and co-operative staff.
36,always ready to assist the residents and take measures to keep us safe.
37,nice atmosphere.
38,staffs are very friendly and ready to help.
39,need to improve the wifi.
40,if you want to live in an accomondation in the heart of the city centre then this is your place!!
41,the room is excellent with all the necessary tools to live so there is no need to buy anything!!
42,toilet is good but a bit small!!
43,heating during the winter is great and can keep u warm!!
44,"the desk for you to study is large, with enough space to put your books and computer!!"
45,"the staff is friendly, kind (especially the manager of the building and always ready to help even during the night!!"
46,"the only thing that needs an update is the social spaces(more games, spaces to play and engage with each other etc) in the accomondation and more social events in order for all of us to get to know each other!"
47,"!finally, since the building is in the city centre you can confortably explore the city's day and night (social) life with a nice selection of cafes, restaurants and bars (all of them are very close from the accomondation on foot)"
48,fine for location.rooms are spacious but toilets are dated.staff are there all the time and everything is ready to stay so no need to buy anything
49,i’ve never seen a property that clean and cosy.
50,thanks to dorota for helping me even when she doesn’t work.
51,she’s always available.
52,"i loved ringway house as soon as i had my viewing, the space, the location and especially the management (dorota and sarah) who have been wonderful"
53,"ringway house is located in a really convenient location, close to bus stops to get to uni and the city centre for all your shopping needs."
54,my studio is spacious and i have an amazing view of the city.
55,the property team is lovely and friendly as well.
56,"lovely management with lovely management, would highly recommend, it’s the little things that count and they’re always working around the clock."
57,nice rooms also very good value for money
58,"great staff for the most part, but very unpleasant stay."
59,"constant, constant issues with water, heating, plumbing, general falling apart of the room, lighting, only a couple of weeks after i moved in."
60,higher management didn’t seem to care about the issues i and plenty other residents had/still have.
61,staff didn’t tell me when a repair i had was due and entered my room while i was out which is very concerning and an invasion of privacy and didn’t say anything when i said as much - again didn’t seem to care.
62,"some tenants very rude and disrespectful without cause - touching my clothes, verbal abuse, staff were aware and didn’t care, overall awful stay i would highly recommend avoiding this place for your stay, as i have said to every other uni student i know here out of genuine concern for them."
63,i love this place been a blast since i moved in september and it’s only gone better as my journey continues with ringway house.
64,will definitely recommend this to any student without a shadow of a doubt and love to thank the management team (dorota) for making my stay so pleasantt
65,it is an absolutely great place with highest covid-19 tailored standards.
66,the receptionist and house manager hedy is very friendly and is keen to always help residents out with any issues.
67,"a great gym facility on the ground floor and spacious study areas with large tv facilities for working on your uni presentation, when a your room environment is too familiar and demotivating."
68,the location is also 1 min away from coventry station which is 40 mins away from london euston’s station to enjoy london vibes every weekends.
69,great value for money 💰 and top service quality.
70,"amazing accommodation, i love the gym and room is very clear and bright, especially, the staffs are very friendly!"
71,it's actually a nice location，near the rail station and bus stop.
72,the facilities are all great.
73,the service from reception staffs are great.
74,they are all nice people and glad to help us.
75,"good location that next to the coventry railway and bus station, suitable for coventry or warwick uni student."
76,clean room and corridor.
77,"they have enough social facilities, like gym room, study room, even study area in the lobby."
78,"mercia lodge is conveniently located at the center with ease of access to all i need as a student: it’s like a 5 - 7 minute walk from coventry university, 1 - 5 minute walk from shopping malls, fast food joints, restaurants, and more."
79,"the management team provide a great customer service, they are nice, easy to talk to and understanding."
80,in short it’s an outstanding and low key place.
81,"staying in mercia lodge was an overall enjoyable experience for me, but it has its issues."
82,it's in a great location only a few minutes to get to the shops or uni and its right across the street from wetherspoons.
83,"its got a free on site gym and cinema room which always appeared to be well kept, as well as a table tennis and pool table (which isn't level) in the social areas."
84,"there is also an on site laundry room, but it will cost about a 5er to do a load of washing and drying which you have to pay for using an app."
85,"the rooms do come with a kitchen (small fridge, ceramic hob, small sink, and a small microwave combi oven), but they aren't particularly useable and my sink was in a state of being perpetually clogged."
86,"the issues really start to become apparent if or when something brakes or you need something from maintenance, as it takes a while for any action to be taken."
87,"also worth noting that while i was there, one of the lifts occasionally worked, but was temperamental at best."
88,mercia lodge located in a very good place.
89,"the surrounding public security is good, shopping is convenient."
90,the staff group is friendly and efficient.
91,"the room configuration is also good, cost-effective"
92,"amazing experience, kept clean and very safe."
93,good social life and great location
94,"location is excellent loads of essential stores nearby, room is very spacious so is the gym and worth the price."
95,staff is very friendly and welcoming.
96,mercia lodge is a really good place to stay at while doing your degree.
97,the accommodation held a lot of social events which allows you to meet new people.
98,the people living in this building are also very friendly if you try to get to know them.
99,"the location is perfect, as it is located in the city centre."
100,the facilities are also great.
101,you can gather with your friends and watch in the cinema room or socialise in the social place.
102,"the staff of mercia is also friendly and very helpful, and the building is always clean."
103,"everytime it gets a bit dirty, the staff will clean it right away."
104,the price is also very reasonable and worth it.
105,definitely recommended for people to stay at!
106,really recommand city point！it has a perfect location and you can get whatever you want from the coventry city centre.
107,the environment of the apartments are peaceful and tidy.
108,the reception and security here are responsible and friendly for any queries.
109,very good commendation.
110,i would highly recommend city point to those who are planing to study in coventry and warwick.
111,"the location of cp is perfect, it takes about 3 mins to get to the coventry city centre where i can get anything i want."
112,the reception and security of cp are really friendly and helpful！really good choice！
113,love staying in city point!
114,living in city point has really lightened my student life in coventry.
115,"the ensuite room is comfortable, the flat common area is large."
116,"we have 5 people in the flat, and the common room suits our need for cooking and leisure."
117,"besides, the reception staffs are helpful and caring."
118,very recommend to students!
119,"brilliant building, great facilities, and the management team complete this place."
120,vicky and andy are absolutely brilliant!
121,i was quite apprehensive about moving out at first but the team here made everything easy for me.
122,gulson gardens is now home.
123,i love it here
124,"i was quite nervous moving back into student halls again after some bad experiences, but my time here has been amazing so far!"
125,everyone who works here is super welcoming and friendly.
126,they really put in an effort to grt to know us all and in arranging social events.
127,"everything is so well maintained, extremely secure, and we have some lovely social spaces here too which means that those of us who want to sleep will get some rest, and anyone who wants to stay up late have a space to do that rather than disturbing flatmates."
128,would 100% recommend for anyone looking for a place to stay.
129,cannot honestly recommend this place enough.
130,"this place has helped me in more ways than just providing accommodation, the social spaces are like no other."
131,the sense of community and welcome you get here you won’t find anywhere else!
132,2 min walk to main campuses and the management team are so friendly and helpful.
133,and the rooms are so nice!
134,the facilities are very clean and the rooms are spacious.
135,this space allows for studying as well as relaxing.
136,best accommodation i have been too
137,"during lockdown, students were forced to pay full rent with no discount."
138,most student accommodations in the uk did however axo would not allow it.
139,that is the biggest complain
140,most of the experience is quite good.
141,"however, there is no any opening windows in my room."
142,so there are no any fresh air inside.
143,this affects my mental health.
144,good management and security on site.
145,"bikes are not covered in the insurance policy, so be careful, mine was stolen."
146,poor wifi (always under maintenance).
147,"all round a good experience living here, but would recommend living in a flat with friends, to avoid uncomfortable living situations with random flat mates."
148,"would recommend for first year students, definitely not for postgraduate students."
149,"the only good thing about the paradise village is descent location, the rest is not even worth describing"
150,location is super good，just between library and doctoral college.
151,it was a nice experience
152,excellent place to live/study
153,"the great location for my first year, my room is nice and staff are always friendly when i come in"
154,"great value for money, and the property manager's are very nice and helpful."
155,the staff are warm-hearted and the room is very nice.all my trouble have been solved
156,cheap and cheerful.
157,the building has its flaws and it’s quite an old fashioned building.
158,however it balances out with the cheaper price you pay compared to some of the overpriced student accommodations in coventry
159,"brilliant building, great facilities, and the management team complete this place."
160,vicky and andy are absolutely brilliant!
161,i was quite apprehensive about moving out at first but the team here made everything easy for me.
162,gulson gardens is now home.
163,i love it here
164,"i was quite nervous moving back into student halls again after some bad experiences, but my time here has been amazing so far!"
165,everyone who works here is super welcoming and friendly.
166,they really put in an effort to grt to know us all and in arranging social events.
167,"everything is so well maintained, extremely secure, and we have some lovely social spaces here too which means that those of us who want to sleep will get some rest, and anyone who wants to stay up late have a space to do that rather than disturbing flatmates."
168,would 100% recommend for anyone looking for a place to stay.
169,cannot honestly recommend this place enough.
170,"this place has helped me in more ways than just providing accommodation, the social spaces are like no other."
171,the sense of community and welcome you get here you won’t find anywhere else!
172,2 min walk to main campuses and the management team are so friendly and helpful.
173,and the rooms are so nice!
174,it is an absolutely great place with highest covid-19 tailored standards.
175,the receptionist and house manager hedy is very friendly and is keen to always help residents out with any issues.
176,"a great gym facility on the ground floor and spacious study areas with large tv facilities for working on your uni presentation, when a your room environment is too familiar and demotivating."
177,the location is also 1 min away from coventry station which is 40 mins away from london euston’s station to enjoy london vibes every weekends.
178,great value for money 💰 and top service quality.
179,"amazing accommodation, i love the gym and room is very clear and bright, especially, the staffs are very friendly!"
180,it's actually a nice location，near the rail station and bus stop.
181,the facilities are all great.
182,the service from reception staffs are great.
183,they are all nice people and glad to help us.
184,"good location that next to the coventry railway and bus station, suitable for coventry or warwick uni student."
185,clean room and corridor.
186,"they have enough social facilities, like gym room, study room, even study area in the lobby."
187,really recommand city point！it has a perfect location and you can get whatever you want from the coventry city centre.
188,the environment of the apartments are peaceful and tidy.
189,the reception and security here are responsible and friendly for any queries.
190,very good commendation.
191,i would highly recommend city point to those who are planing to study in coventry and warwick.
192,"the location of cp is perfect, it takes about 3 mins to get to the coventry city centre where i can get anything i want."
193,the reception and security of cp are really friendly and helpful！really good choice！
194,love staying in city point!
195,living in city point has really lightened my student life in coventry.
196,"the ensuite room is comfortable, the flat common area is large."
197,"we have 5 people in the flat, and the common room suits our need for cooking and leisure."
198,"besides, the reception staffs are helpful and caring."
199,very recommend to students!
200,i am living in classic studio with a window facing to south.
201,the space and decroations of room are decent.
202,there are some features that i quite like.
203,1.the living space is pretty quiet.
204,there is no worry about noise in any time.
205,2.the receptionist is quite kind.
206,"and they will quickly inform you, if your amaz package is reached."
207,3.there are some small gifts or candies during festivals.
208,4.there are two stores near the accomadation.
209,and it takes about 10-min walk to the shopping centre.
210,"basically, if you enjoy a quiet life during your study, that is definately one of best places you want to choose in coventry."
211,i have a very nice experience staying in julian court!
212,all the rooms are studios.
213,the residence is in a quite area so no worry about notices outside.
214,also to go to university of warwick only takes about 20 minutes in total.
215,the staff here are really friendly and helpful.
216,"they can help you with anything, from local life to living experience."
217,i’ll definitely recommend it to those who wish to have a private space to stay.
218,"as a self-contained studio apartment, julian court has all the functions i need to live securely and safely under covid-19 pandemic."
219,and the reception service here is really warm and welcoming.
220,"i like the young lady in reception, she is always enthusiasm when i pick the package"
221,"comfortable, convenient position, good service."
222,an enjoybale living experience.
223,it is suitable for various students.
224,"i love my room, especially the two big windows, from which i can see beautiful sceneries."
225,the furniture inside the room is great and convenient to use.
226,"besides, the administrator at the reception is very enthusiastic and kind."
227,really enjoying living there!
228,"mercia lodge is conveniently located at the center with ease of access to all i need as a student: it’s like a 5 - 7 minute walk from coventry university, 1 - 5 minute walk from shopping malls, fast food joints, restaurants, and more."
229,"the management team provide a great customer service, they are nice, easy to talk to and understanding."
230,in short it’s an outstanding and low key place.
231,"staying in mercia lodge was an overall enjoyable experience for me, but it has its issues."
232,it's in a great location only a few minutes to get to the shops or uni and its right across the street from wetherspoons.
233,"its got a free on site gym and cinema room which always appeared to be well kept, as well as a table tennis and pool table (which isn't level) in the social areas."
234,"there is also an on site laundry room, but it will cost about a 5er to do a load of washing and drying which you have to pay for using an app."
235,"the rooms do come with a kitchen (small fridge, ceramic hob, small sink, and a small microwave combi oven), but they aren't particularly useable and my sink was in a state of being perpetually clogged."
236,"the issues really start to become apparent if or when something brakes or you need something from maintenance, as it takes a while for any action to be taken."
237,"also worth noting that while i was there, one of the lifts occasionally worked, but was temperamental at best."
238,mercia lodge located in a very good place.
239,"the surrounding public security is good, shopping is convenient."
240,the staff group is friendly and efficient.
241,"the room configuration is also good, cost-effective"
242,"amazing experience, kept clean and very safe."
243,good social life and great location
244,"location is excellent loads of essential stores nearby, room is very spacious so is the gym and worth the price."
245,staff is very friendly and welcoming.
246,mercia lodge is a really good place to stay at while doing your degree.
247,the accommodation held a lot of social events which allows you to meet new people.
248,the people living in this building are also very friendly if you try to get to know them.
249,"the location is perfect, as it is located in the city centre."
250,the facilities are also great.
251,you can gather with your friends and watch in the cinema room or socialise in the social place.
252,"the staff of mercia is also friendly and very helpful, and the building is always clean."
253,"everytime it gets a bit dirty, the staff will clean it right away."
254,the price is also very reasonable and worth it.
255,definitely recommended for people to stay at!
256,iq weaver place has been an amazing place to reside in while at uni.
257,moved here in september and spent most of lockdown within my flat space.
258,amazing on site staff who are always ready and enthusiastic to provide any type of assistance required.
259,would definitely recommend staying here for uni students looking to book accommodation!
260,i’ve never seen a property that clean and cosy.
261,thanks to dorota for helping me even when she doesn’t work.
262,she’s always available.
263,"i loved ringway house as soon as i had my viewing, the space, the location and especially the management (dorota and sarah) who have been wonderful"
264,"ringway house is located in a really convenient location, close to bus stops to get to uni and the city centre for all your shopping needs."
265,my studio is spacious and i have an amazing view of the city.
266,the property team is lovely and friendly as well.
267,"lovely management with lovely management, would highly recommend, it’s the little things that count and they’re always working around the clock."
268,nice rooms also very good value for money
269,"great staff for the most part, but very unpleasant stay."
270,"constant, constant issues with water, heating, plumbing, general falling apart of the room, lighting, only a couple of weeks after i moved in."
271,higher management didn’t seem to care about the issues i and plenty other residents had/still have.
272,staff didn’t tell me when a repair i had was due and entered my room while i was out which is very concerning and an invasion of privacy and didn’t say anything when i said as much - again didn’t seem to care.
273,"some tenants very rude and disrespectful without cause - touching my clothes, verbal abuse, staff were aware and didn’t care, overall awful stay i would highly recommend avoiding this place for your stay, as i have said to every other uni student i know here out of genuine concern for them."
274,i love this place been a blast since i moved in september and it’s only gone better as my journey continues with ringway house.
275,will definitely recommend this to any student without a shadow of a doubt and love to thank the management team (dorota) for making my stay so pleasantt
276,location is super good，just between library and doctoral college.
277,it was a nice experience
278,excellent place to live/study
279,"the great location for my first year, my room is nice and staff are always friendly when i come in"
280,"great value for money, and the property manager's are very nice and helpful."
281,the staff are warm-hearted and the room is very nice.all my trouble have been solved
282,cheap and cheerful.
283,the building has its flaws and it’s quite an old fashioned building.
284,however it balances out with the cheaper price you pay compared to some of the overpriced student accommodations in coventry
285,i have lived here for more than 4 years and my overall experience with study inn is absolutely amazing.
286,"it has the best arrangements, management and staff and i love how considerate everyone is."
287,gonna miss it badly once i am gone!
288,very helpful and co-operative staff.
289,always ready to assist the residents and take measures to keep us safe.
290,nice atmosphere.
291,staffs are very friendly and ready to help.
292,need to improve the wifi.
293,if you want to live in an accomondation in the heart of the city centre then this is your place!!
294,the room is excellent with all the necessary tools to live so there is no need to buy anything!!
295,toilet is good but a bit small!!
296,heating during the winter is great and can keep u warm!!
297,"the desk for you to study is large, with enough space to put your books and computer!!"
298,"the staff is friendly, kind (especially the manager of the building and always ready to help even during the night!!"
299,"the only thing that needs an update is the social spaces(more games, spaces to play and engage with each other etc) in the accomondation and more social events in order for all of us to get to know each other!"
300,"!finally, since the building is in the city centre you can confortably explore the city's day and night (social) life with a nice selection of cafes, restaurants and bars (all of them are very close from the accomondation on foot)"
301,fine for location.rooms are spacious but toilets are dated.staff are there all the time and everything is ready to stay so no need to buy anything
302,the facilities are very clean and the rooms are spacious.
303,this space allows for studying as well as relaxing.
304,best accommodation i have been too
305,"during lockdown, students were forced to pay full rent with no discount."
306,most student accommodations in the uk did however axo would not allow it.
307,that is the biggest complain
308,most of the experience is quite good.
309,"however, there is no any opening windows in my room."
310,so there are no any fresh air inside.
311,this affects my mental health.
312,good management and security on site.
313,"bikes are not covered in the insurance policy, so be careful, mine was stolen."
314,poor wifi (always under maintenance).
315,"all round a good experience living here, but would recommend living in a flat with friends, to avoid uncomfortable living situations with random flat mates."
316,"would recommend for first year students, definitely not for postgraduate students."
